# 601 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for controlled-source electromagnetic data.
#
#
# > Key, K., 2009;
# > 1D inversion of multicomponent, multifrequency marine CSEM data:
# > Methodology and synthetic studies for resolving thin resistive layers;
# > Geophysics, 74(2), F9-F20;
# > DOI: 10.1190/1.3058434
#
#
# Copyright 2009 Kerry Key
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                    sin                     cos
4.193795658379545e-13   8.359261159716757e-12   9.297394385722251e-09
4.611744532326466e-13  -9.220758632982218e-11  -9.331225377780101e-08
5.071345712552199e-13   5.077803827675346e-10   4.720122900065709e-07
5.576750220213815e-13  -1.867552463969512e-09  -1.613118471395310e-06
6.132522762484560e-13   5.172013211121000e-09   4.212303970960659e-06
6.743682960028553e-13  -1.150520169188055e-08  -9.009536457681384e-06
7.415750683158400e-13   2.133505606536172e-08   1.651602857948675e-05
8.154795906142572e-13  -3.356235702475845e-08  -2.679596886705627e-05
8.967493529935761e-13   4.458152579281038e-08   3.940422339703118e-05
9.861183668479918e-13  -4.764384505735926e-08  -5.347974004860014e-05
1.084393794306884e-12   3.285802030700915e-08   6.791971721071075e-05
1.192463238353357e-12   1.170416876881884e-08  -8.155130316929276e-05
1.311302759467621e-12  -9.728694589481136e-08   9.326403165364431e-05
1.441985691199862e-12   2.302363895145795e-07  -1.021242360378208e-04
1.585692334293061e-12  -4.079555605183399e-07   1.075044839800603e-04
1.743720616910949e-12   6.177404179101450e-07  -1.092079615834928e-04
1.917497817252074e-12  -8.399063799040625e-07   1.075143562399657e-04
2.108593454426215e-12   1.053635465227130e-06  -1.030950944755197e-04
2.318733464020732e-12  -1.242201580787086e-06   9.682549682891237e-05
2.549815786387618e-12   1.395188292393633e-06  -8.957830794965313e-05
2.803927508441469e-12  -1.507739153919925e-06   8.207447336214694e-05
3.083363713789339e-12   1.578670342496271e-06  -7.481894657743579e-05
3.390648211442950e-12  -1.609330769274755e-06   6.810717196176212e-05
3.728556330330719e-12   1.603704787813562e-06  -6.207122775612170e-05
4.100139985484672e-12  -1.568787772955808e-06   5.673730708926640e-05
4.508755242294825e-12   1.514057996940974e-06  -5.207534712599374e-05
4.958092627785737e-12  -1.449859436884266e-06   4.803123832785169e-05
5.452210462680048e-12   1.385471476675003e-06  -4.454126647913836e-05
5.995571515297294e-12  -1.327714396862736e-06   4.153626254546913e-05
6.593083308338489e-12   1.280365531766066e-06  -3.894484241413979e-05
7.250142442598540e-12  -1.244157111494832e-06   3.670018212582626e-05
7.972683337929069e-12   1.217066071485304e-06  -3.474760669238406e-05
8.767231831670027e-12  -1.194813140091078e-06   3.304789032391324e-05
9.640964118639377e-12   1.171619350554489e-06  -3.157405118447008e-05
1.060177156501484e-11  -1.141245957443412e-06   3.030417050465031e-05
1.165833198149268e-11   1.098300017169870e-06  -2.921456228037889e-05
1.282018799944826e-11  -1.039677652165878e-06   2.827644329587734e-05
1.409783325797471e-11   9.657023972020309e-07  -2.745628846010215e-05
1.550280718022315e-11  -8.802859741190706e-07   2.671857445706401e-05
1.704779919504490e-11   7.898002965067069e-07  -2.602920102778078e-05
1.874676334524281e-11  -7.011502922371117e-07   2.535888695808226e-05
2.061504431754968e-11   6.199819174236849e-07  -2.468607273662796e-05
2.266951603261053e-11  -5.496364964808038e-07   2.399924035665649e-05
2.492873404668339e-11   4.908282495265287e-07  -2.329770267206565e-05
2.741310314151893e-11  -4.417340889517205e-07   2.259026462846769e-05
3.014506161605645e-11   3.983234968951235e-07  -2.189149146666980e-05
3.314928394441855e-11  -3.549443284917371e-07   2.121716386042521e-05
3.645290363056936e-11   3.052022769579055e-07  -2.058041892479830e-05
4.008575827241402e-11  -2.431179353674635e-07   1.999003726593088e-05
4.408065904870462e-11   1.644925081929142e-07  -1.945035041059098e-05
4.847368706270256e-11  -6.826180446676947e-08   1.896225718089684e-05
5.330451921911242e-11  -4.267370024343952e-08  -1.852396425633805e-05
5.861678657753666e-11   1.617586507674555e-07   1.813163216467783e-05
6.445846841902501e-11  -2.803722965853880e-07  -1.777965071578391e-05
7.088232558484702e-11   3.900333484620099e-07   1.746165236340568e-05
7.794637700130874e-11  -4.841854682231028e-07  -1.717168150623305e-05
8.571442369448666e-11   5.589285654245779e-07   1.690577970679105e-05
9.425662502767281e-11  -6.127907934111358e-07  -1.666244997183115e-05
1.036501323659809e-10   6.460770598217428e-07   1.644257988471772e-05
1.139797858912439e-10  -6.602760649580756e-07  -1.624809220129749e-05
1.253388808606835e-10   6.576736756258753e-07   1.608102355458193e-05
1.378300102300461e-10  -6.410565760810279e-07  -1.594231869044314e-05
1.515659912515919e-10   6.134062518391666e-07   1.583185544264933e-05
1.666708844157782e-10  -5.776817085420256e-07  -1.574816191054980e-05
1.832811139395095e-10   5.368478628585665e-07   1.568924212529655e-05
2.015466999209584e-10  -4.940575236587126e-07  -1.565249673434141e-05
2.216326132895250e-10   4.526353300864370e-07   1.563547180372210e-05
2.437202657885651e-10  -4.156542601539313e-07  -1.563521991811041e-05
2.680091484480837e-10   3.853255033044642e-07   1.564873612274880e-05
2.947186333457411e-10  -3.626302817958946e-07  -1.567205863642941e-05
3.240899549293070e-10   3.474120702880588e-07   1.570100094942606e-05
3.563883887954330e-10  -3.388116026167377e-07  -1.573043759313864e-05
3.919056476030219e-10   3.357822909548376e-07   1.575568901623209e-05
4.309625157605925e-10  -3.374961146308590e-07  -1.577234363472105e-05
4.739117466835593e-10   3.435828525769017e-07   1.577855848555620e-05
5.211412487888540e-10  -3.542138677132927e-07  -1.577469454094538e-05
5.730775890021381e-10   3.700334924559362e-07   1.576464133524747e-05
6.301898454205201e-10  -3.919101945347247e-07  -1.575311215656368e-05
6.929938439272241e-10   4.204777209363843e-07   1.574557219403314e-05
7.620568170224476e-10  -4.555173491852289e-07  -1.574501141478538e-05
8.380025269479489e-10   4.954154485992529e-07   1.575350655562779e-05
9.215168993763617e-10  -5.370620929924017e-07  -1.577039802560470e-05
1.013354218547565e-09   5.764057986537222e-07   1.579548543552833e-05
1.114343939805221e-09  -6.094701875560272e-07  -1.582697025278861e-05
1.225398181062923e-09   6.332893162659519e-07   1.586471505025963e-05
1.347519960861261e-09  -6.462326093266543e-07  -1.590700358321762e-05
1.481812257420264e-09   6.475753791361509e-07   1.595395944834813e-05
1.629487970506598e-09  -6.366371781051364e-07  -1.600347227749585e-05
1.791880876089040e-09   6.120491507565731e-07   1.605550830902334e-05
1.970457672722430e-09  -5.716595544868212e-07  -1.610747055867073e-05
2.166831228460398e-09   5.133516840288774e-07   1.615951511314031e-05
2.382775147940245e-09  -4.366225654466551e-07  -1.620878072415450e-05
2.620239791206898e-09   3.441541239853112e-07   1.625562358329816e-05
2.881369888954443e-09  -2.422778905407855e-07  -1.629669100596089e-05
3.168523913282466e-09   1.397790651787136e-07   1.633276432502889e-05
3.484295378919872e-09  -4.560549166906710e-08  -1.636065015813141e-05
3.831536267304207e-09  -3.328991221128148e-08   1.638259866975109e-05
4.213382785077881e-09   9.304779181335509e-08  -1.639607578668321e-05
4.633283689646769e-09  -1.328140937569905e-07   1.640462724001378e-05
5.095031437631424e-09   1.539166770440108e-07  -1.640521769213474e-05
5.602796437537268e-09  -1.588634375317458e-07   1.640152929507142e-05
6.161164716006833e-09   1.505235965755548e-07  -1.638920820170809e-05
6.775179337847431e-09  -1.316171002396016e-07   1.637250343735157e-05
7.450385953931326e-09   1.044904524158723e-07  -1.634655518077729e-05
8.192882888347710e-09  -7.109829024369389e-08   1.631719045165813e-05
9.009376217182704e-09   3.308802429746560e-08  -1.627909407619066e-05
9.907240336387463e-09   8.116007277443925e-09   1.623957286491315e-05
1.089458456577097e-08  -5.129436354707441e-08  -1.619224661741716e-05
1.198032639067020e-08   9.547883951893789e-08   1.614597203081240e-05
1.317427200280147e-08  -1.400131020366568e-07  -1.609315597940615e-05
1.448720486772051e-08   1.845767969781941e-07   1.604474827158578e-05
1.593098311881483e-08  -2.291551421651494e-07  -1.599187711961352e-05
1.751864665746923e-08   2.739695597209863e-07   1.594805230156663e-05
1.926453492671132e-08  -3.193993375150602e-07  -1.590248899171649e-05
2.118441642204417e-08   3.659197536698852e-07   1.587071183503557e-05
2.329563110917976e-08  -4.140702925835591e-07  -1.583788239180818e-05
