# 101 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for TEM data with short offsets and high resistive
# ground.
#
# See the notebook `fourier_wer_101_2020a.ipynb` in the repo
# https://github.com/emsig/new-filters
#
# This is based on the filter `fourier_wer_201_2018_sincos` from the article
# (https://github.com/emsig/article-fdesign)
#
#
# > Werthmüller, D., K. Key, and E. Slob, 2019;
# > A tool for designing digital filters for the Hankel and Fourier
# > transforms in potential, diffusive, and wavefield modeling;
# > Geophysics, 84(2), F47-F56;
# > DOI: 10.1190/geo2018-0069.1
#
#
# Copyright 2020 Dieter Werthmüller
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                       sin                        cos
1.671053690650226280e-03   1.177128430410025000e-04   8.612264121043072818e-01
1.867009289629693045e-03  -5.660678178275897884e-04  -4.869802809580678016e+00
2.085943561877559062e-03   1.350278275315356779e-03   1.337178636604660653e+01
2.330551094473372418e-03  -2.120714850591536547e-03  -2.399690723393387870e+01
2.603842454424879112e-03   2.498106416625487953e-03   3.208155091014653948e+01
2.909181241957464314e-03  -2.379605473189794120e-03  -3.460231152804073673e+01
3.250325488846256966e-03   1.944577538525011544e-03   3.189723969767428713e+01
3.631473911310925239e-03  -1.418567318121408041e-03  -2.629879881421922505e+01
4.057317586742053769e-03   9.642364434936241376e-04   2.013466902802267100e+01
4.533097690282951280e-03  -6.199837727970451641e-04  -1.475824022814371972e+01
5.064670001874087106e-03   3.945549458746879044e-04   1.061419935805379566e+01
5.658576977696270528e-03  -2.393100388352208032e-04  -7.625223694795089102e+00
6.322128273049588791e-03   1.528843254982245874e-04   5.543564709830923753e+00
7.063490707723007328e-03  -8.271021059768657346e-05  -4.105507606888341599e+00
7.891788781125530852e-03   5.581042701538605942e-05   3.112384155182696510e+00
8.817216974293377862e-03  -1.353973990819307488e-05  -2.412328829272769593e+00
9.851165220957610116e-03   1.374587638124020642e-05   1.914950744352351908e+00
1.100635909193808069e-02   2.509322987812082322e-05  -1.547494487573237931e+00
1.229701641821740951e-02  -6.876675390328162201e-06   1.276994776249292363e+00
1.373902228037167557e-02   5.506282308040526014e-05  -1.065256475475044207e+00
1.535012451808308656e-02  -1.776344648677357434e-05   9.053279587675648887e-01
1.715015216601577588e-02   8.604152819130784201e-05  -7.717467279965584126e-01
1.916125950450767168e-02  -2.241382904823908346e-05   6.703724340486532096e-01
2.140819872879183919e-02   1.240684052351333103e-04  -5.790491960531590765e-01
2.391862459269064253e-02  -2.062332608794787206e-05   5.115575453456313593e-01
2.672343477625928332e-02   1.749067255838470834e-04  -4.446549364147986405e-01
2.985715016653677639e-02  -9.640975270191073663e-06   3.985990692448891370e-01
3.335833973180266088e-02   2.458408833484348088e-04  -3.465344460941509608e-01
3.727009521858323793e-02   1.605802290557992683e-05   3.152843199131651897e-01
4.164056151385677612e-02   3.472541237730645170e-04  -2.724528306969517533e-01
