# 101 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for TEM data with short offsets and high resistive ground.
#
# See the notebook `fourier_wer_101_2020b.ipynb` in the repo
# https://github.com/emsig/new-filters
#
# This is based on the filter `fourier_wer_201_2018_sincos` from the article
# (https://github.com/emsig/article-fdesign)
#
#
# > Werthmüller, D., K. Key, and E. Slob, 2019;
# > A tool for designing digital filters for the Hankel and Fourier
# > transforms in potential, diffusive, and wavefield modeling;
# > Geophysics, 84(2), F47-F56;
# > DOI: 10.1190/geo2018-0069.1
#
#
# Copyright 2020 Dieter Werthmüller
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                       sin                        cos
4.623016632091449685e-04  -3.032097930028440080e-01   4.751425628620387087e-02
5.230368770053674685e-04   1.676703845446847474e+00  -1.644355862978697513e-01
5.917512232348732474e-04  -4.351624595138428475e+00   2.106669735821867506e-01
6.694929661649362974e-04   7.086947479717435883e+00  -4.032698608033828680e-02
7.574480865355485591e-04  -8.133993252635450588e+00  -2.453794981484290205e-01
8.569583741601555530e-04   6.924468702003222731e+00   4.021095983898078652e-01
9.695418974548447935e-04  -4.342773461983382433e+00  -3.158777586422166772e-01
1.096916162166661473e-03   1.700628874139152202e+00   7.191806359846980579e-02
1.241024312596534888e-03   1.773755078667151597e-01   1.837097772033341736e-01
1.404064775026715554e-03  -1.125573543220994788e+00  -3.601730958609785094e-01
1.588524795574843647e-03   1.362008685974825495e+00   4.455175520735200068e-01
1.797218384107729513e-03  -1.191644630842478181e+00  -4.651076988177635929e-01
2.033329243064131708e-03   8.541624428245564449e-01   4.525120533514946919e-01
2.300459336082513306e-03  -4.920575990936636446e-01  -4.273886397690213612e-01
2.602683837367248624e-03   1.719935533556375962e-01   4.019851943559138441e-01
2.944613300067361588e-03   8.461068126916276855e-02  -3.765548631079509989e-01
3.331463992070785984e-03  -2.783371828247770408e-01   3.531655436492796563e-01
