# 201 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for controlled-source electromagnetic data.
#
# See the notebook `Filter-wer201-SineCosine.ipynb` in the repo
# https://github.com/emsig/article-fdesign
#
#
# > Werthmüller, D., K. Key, and E. Slob, 2019;
# > A tool for designing digital filters for the Hankel and Fourier
# > transforms in potential, diffusive, and wavefield modeling;
# > Geophysics, 84(2), F47-F56;
# > DOI: 10.1190/geo2018-0069.1
#
#
# Copyright 2018 Dieter Werthmüller
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                       sin                        cos
4.189421234483837325e-04  -1.058542786671373825e+01  -4.726067921728434484e+00
4.463333585497240201e-04   6.011743451756665912e+00   6.236615380861593394e+00
4.755154848467292561e-04   3.070821186020627280e+01   2.664891225646092154e-01
5.066055942216327610e-04   9.224790035930224841e-01   4.404360926619430572e+00
5.397284342472637511e-04  -8.436157201089258706e+01  -8.562029609877011893e+00
5.750169087306999808e-04   8.884283579388061014e+01   1.490891548525344446e+00
6.126126109834219595e-04  -4.081884563039677971e+01  -2.142043803292998927e+00
6.526663919576816859e-04  -1.288693661882872199e+01   4.333563168403704147e+00
6.953389655287156709e-04   1.367492017780170066e+01  -2.271155689760681717e+00
7.408015533514615732e-04   5.747607333649412453e+01   2.665476744549664545e+00
7.892365718792368002e-04  -5.423498470199226063e+01  -4.542984228569879157e+00
8.408383643010091746e-04  -6.230518704314413014e+00   3.286669862113432927e+00
8.958139803341213592e-04  -5.950965170740145638e+00   4.862765528955232064e+00
9.543840070013550779e-04   3.208445622429760391e+01  -8.595628314217963251e+00
1.016783453725776188e-03  -1.471687138118958593e+01   3.110724934303284783e+00
1.083262695294777683e-03  -3.416338393744268842e+00  -7.276633331357068579e-01
1.154088476476904535e-03   4.251605628190280761e+00   1.278631931224476048e+00
1.229544982322445992e-03   3.575409297469174685e+00   1.706839422415437901e-01
1.309934978442320232e-03  -4.276474530505587346e+00  -1.486117589982641207e-03
1.395581025840566354e-03  -4.721578743742584017e+00  -1.277788519414287505e+00
1.486826775174909408e-03   1.386997938780097472e+00   8.237586773672619378e-01
1.584038345638535223e-03   1.243881072174499280e+01  -5.888951167428058131e-02
1.687605793995799889e-03  -1.262489605530961967e+01   1.010627321571974518e-01
1.797944679666288632e-03   1.395597314423304924e+00  -3.768229693024351956e-01
1.915497732137057740e-03   3.380836611720441809e+00   5.507152292474458699e-01
2.040736627393468366e-03  -1.572206001825447785e+00  -4.082893817679187354e-01
2.174163880496454183e-03   1.752239973546301677e+00   8.326001158722882989e-02
2.316314861900113653e-03  -3.167736777406407356e+00  -1.113673243857378481e-01
2.467759945599966309e-03   1.343176820357116830e+00   4.645363194413048569e-01
