# 140 point Hankel filter, J1
# ===========================
#
#
# > Guptasarma, D. and B. Singh, 1997;
# > New digital linear filters for Hankel J0 and J1 transforms;
# > Geophysical Prospecting, 45(5), 745-762;
# > DOI: 10.1046/j.1365-2478.1997.500292.x
#
#
# Copyright 1997 D. Guptasarma and B. Singh
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                j1
1.23021441061e-08  -6.76671159511e-14
1.50642652455e-08   3.39808396836e-13
1.84465476448e-08  -7.43411889153e-13
2.25882321153e-08   8.93613024469e-13
2.76598223103e-08  -5.47341591896e-13
3.38701039699e-08  -5.84920181906e-14
4.14747401504e-08   5.20780672883e-13
5.07867962873e-08  -6.92656254606e-13
6.21896283803e-08   6.88908045074e-13
7.61526648818e-08  -6.39910528298e-13
9.32507319891e-08   5.82098912530e-13
1.14187717922e-07  -4.84912700478e-13
1.39825550385e-07   3.54684337858e-13
1.71219680157e-07  -2.10855291368e-13
2.09662531578e-07   1.00452749275e-13
2.56736708699e-07   5.58449957721e-15
3.14380147455e-07  -5.67206735175e-14
3.84965896053e-07   1.09107856853e-13
4.71399807918e-07  -6.04067500756e-14
5.77240169023e-07   8.84512134731e-14
7.06844184356e-07   2.22321981827e-14
8.65547354065e-07   8.38072239207e-14
1.05988312376e-06   1.23647835900e-13
1.29785185150e-06   1.44351787234e-13
1.58925016418e-06   2.94276480713e-13
1.94607426219e-06   3.39965995918e-13
2.38301377550e-06   6.17024672340e-13
2.91805650203e-06   8.25310217692e-13
3.57322892406e-06   1.32560792613e-12
4.37550298799e-06   1.90949961267e-12
5.35790647752e-06   2.93458179767e-12
6.56088269180e-06   4.33454210095e-12
8.03395540333e-06   6.55863288798e-12
9.83776763809e-06   9.78324910827e-12
1.20465782099e-05   1.47126365223e-11
1.47513187855e-05   2.20240108708e-11
1.80633373328e-05   3.30577485691e-11
2.21189820615e-05   4.95377381480e-11
2.70852145658e-05   7.43047574433e-11
3.31664832513e-05   1.11400535181e-10
4.06131400062e-05   1.67052734516e-10
4.97317466150e-05   2.50470107577e-10
6.08976952040e-05   3.75597211630e-10
7.45706622747e-05   5.63165204681e-10
