# 201 point Hankel filter, J0 and J1
# ==================================
#
# Designed and tested for controlled-source electromagnetic data.
#
#
# > Key, K., 2009;
# > 1D inversion of multicomponent, multifrequency marine CSEM data:
# > Methodology and synthetic studies for resolving thin resistive layers;
# > Geophysics, 74(2), F9-F20;
# > DOI: 10.1190/1.3058434
#
#
# Copyright 2009 Kerry Key
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                    j0                      j1
6.112527611295728e-04   1.104702818216325e-01   1.289633927144360e-05
6.582011330626792e-04  -3.002860174042879e-01  -4.692852957012775e-05
7.087554594672159e-04   0.000000000000000e+00   5.712407500240781e-05
7.631927021868981e-04   9.304611998317738e-01   0.000000000000000e+00
8.218110956199024e-04  -1.237989456789895e+00  -5.401898356504400e-05
8.849317805958155e-04   0.000000000000000e+00   0.000000000000000e+00
9.529005637454616e-04   1.522782496923861e+00   1.163813605855986e-04
1.026089812002297e-03  -1.481262207187227e+00  -1.341585158986474e-04
1.104900492614410e-03   0.000000000000000e+00   0.000000000000000e+00
1.189764369843323e-03   1.200938682543965e+00   1.563529882751311e-04
1.281146370384213e-03  -1.042356281617017e+00  -1.701932285008713e-04
1.379547130466501e-03   0.000000000000000e+00   0.000000000000000e+00
1.485505738589109e-03   8.186482154233182e-01   2.685212722282496e-04
1.599602688916441e-03  -7.837979439107681e-01  -5.148623386148907e-04
1.722463061515276e-03   0.000000000000000e+00   6.653519984942213e-04
1.854759946855503e-03   1.072087935017888e+00  -7.072232255490351e-04
1.997218133335814e-03  -2.017973482744253e+00   6.684047762347991e-04
2.150618078036461e-03   2.638551914228436e+00  -5.847964888682289e-04
2.315800182452862e-03  -2.916973810417140e+00   4.877023048974497e-04
2.493669396634629e-03   2.932547717791041e+00  -3.939313465485314e-04
2.685200176953821e-03  -2.782030176901836e+00   3.136345180982827e-04
2.891441824663527e-03   2.548634287940637e+00  -2.470064062519923e-04
3.113524234494096e-03  -2.286132540834447e+00   1.953997902093073e-04
3.352664084780651e-03   2.028668029433413e+00  -1.539602296158165e-04
3.610171503034560e-03  -1.790466549754032e+00   1.234529832565310e-04
3.887457243476130e-03   1.579778206432123e+00  -9.817008106125012e-05
4.186040415850672e-03  -1.395100794535786e+00   8.058804362211881e-05
4.507556807870229e-03   1.236899777150533e+00  -6.451459975546781e-05
4.853767846875483e-03  -1.099633354001948e+00   5.456430430893415e-05
5.226570249814254e-03   9.829180606149369e-01  -4.344419043404446e-05
5.628006414404065e-03  -8.808127495830721e-01   3.815523049837875e-05
6.060275608406676e-03   7.939417322911940e-01  -2.949393655677912e-05
6.525746018315052e-03  -7.166399975760631e-01   2.732187176767718e-05
7.026967723461506e-03   6.508052453577512e-01  -1.959842972127203e-05
7.566686666625634e-03  -5.909087763650980e-01   1.982911726363689e-05
8.147859697679989e-03   5.400346833052113e-01  -1.200904791302960e-05
8.773670772690183e-03  -4.925062292020488e-01   1.443251606646564e-05
9.447548397216066e-03   4.525012829058494e-01  -5.683761857979987e-06
1.017318440937716e-02  -4.139282151279450e-01   1.043594555177340e-05
1.095455420558538e-02   3.820303825432799e-01   4.513240229146117e-08
1.179593851975157e-02  -3.500694920581675e-01   7.457609318727016e-06
1.270194687528350e-02   3.243907465091445e-01   5.653216751529018e-06
1.367754283835671e-02  -2.973991010648227e-01   5.308688404222969e-06
1.472807121080859e-02   2.766317890637754e-01   1.152796570665543e-05
1.585928731163164e-02  -2.534315625567141e-01   3.932961600888582e-06
1.707738850748481e-02   2.366617712595763e-01   1.803352844385906e-05
1.838904816496257e-02  -2.163875214294563e-01   3.380683574927984e-06
1.980145221062947e-02   2.029716420595088e-01   2.555716029426899e-05
2.132233849911398e-02  -1.849663778885546e-01   3.803729181402945e-06
2.296003920493998e-02   1.744470283910267e-01   3.454895491783953e-05
2.472352647033940e-02  -1.581901786171230e-01   5.466139820523614e-06
2.662246155912740e-02   1.502386381629129e-01   4.556234770039426e-05
2.866724778592989e-02  -1.352956168139171e-01   8.768101084525483e-06
3.086908751073575e-02   1.296732438173242e-01   5.930097379335330e-05
3.324004351101861e-02  -1.156619860385481e-01   1.428416302046287e-05
3.579310506765532e-02   1.121981827706036e-01   7.667672615961499e-05
3.854225912669247e-02  -9.877037098650596e-02   2.281866040881824e-05
4.150256692682124e-02   9.735307747326948e-02   9.888436530447273e-05
4.469024651236346e-02  -8.418324552747586e-02   3.548288867698162e-05
4.812276158381668e-02   8.475347956447533e-02   1.274995405373852e-04
5.181891717272583e-02  -7.152829800825916e-02   5.380041779170104e-05
5.579896266503613e-02   7.407480907190452e-02   1.646090070216299e-04
6.008470273734039e-02  -6.048336872780390e-02   7.984956415148433e-05
6.469961681378547e-02   6.504162604072715e-02   2.129842798716441e-04
6.966898769808187e-02  -5.077074526100943e-02   1.164554629053559e-04
7.502004008532698e-02   5.742706238192050e-02   2.763133928114338e-04
8.078208971247929e-02  -4.215804851336973e-02   1.674485387417859e-04
8.698670396460390e-02   5.105276831205472e-02   3.595100112861982e-04
9.366787481677047e-02  -3.445402816016690e-02   2.380118276339850e-04
1.008622050590664e-01   4.578139059809960e-02   4.691253417077570e-04
1.086091088249580e-01  -2.749842403920171e-02   3.351463657538389e-04
1.169510275215943e-01   4.150734318146184e-02   6.138970952511212e-04
1.259336623450285e-01  -2.115449634951816e-02   4.682919161509869e-04
1.356062246541897e-01   3.815224456264026e-02   8.054805703670692e-04
1.460217055752807e-01  -1.530500719575409e-02   6.501519986304682e-04
1.572371663136276e-01   3.566006962242232e-02   1.059417913885959e-03
1.693140507634552e-01  -9.844572094042197e-03   8.977881651498095e-04
1.823185221282210e-01   3.398735588004622e-02   1.396414494631849e-03
1.963218253956815e-01  -4.669634342048067e-03   1.234064772364374e-03
2.114006776535105e-01   3.309505748308261e-02   1.844009097024346e-03
2.276376883838127e-01   3.248775057265341e-04   1.689538327387063e-03
2.451218120391174e-01   3.294860285661111e-02   2.438744274863229e-03
2.639488353792869e-01   5.240451270870069e-03   2.304895516259244e-03
2.842219022392174e-01   3.352191931272241e-02   3.228952488337877e-03
3.060520786022707e-01   1.016839266998432e-02   3.134049181497694e-03
3.295589610751891e-01   3.479748010810809e-02   4.278260457055239e-03
3.548713320980274e-01   1.518640694860538e-02   4.247981356211152e-03
3.821278654786651e-01   3.675989077470884e-02   5.669864127830826e-03
4.114778861171706e-01   2.035623099573585e-02   5.739341687299852e-03
4.430821880821678e-01   3.938537294158406e-02   7.511500876566557e-03
4.771139155210344e-01   2.571720552065411e-02   7.727614768189288e-03
5.137595112299984e-01   4.262879025301092e-02   9.940768446104526e-03
5.532197380808739e-01   3.127265047233792e-02   1.036426807004136e-02
5.957107789003212e-01   4.640586621922704e-02   1.312987922331795e-02
6.414654208273198e-01   3.696789312241264e-02   1.383652144093020e-02
6.907343306373547e-01   5.056664152720505e-02   1.728788292640136e-02
7.437874280201796e-01   4.265736230160079e-02   1.836695924406547e-02
8.009153643346592e-01   5.485681544583107e-02   2.265651442167874e-02
8.624311149420454e-01   4.805697373905592e-02   2.420372071766719e-02
9.286716938412872e-01   5.886326726197704e-02   2.949262366900291e-02
1.000000000000000e+00   5.267934237797620e-02   3.159191631258840e-02
1.076806805496220e+00   6.194081754102766e-02   3.802499854417571e-02
1.159512896362974e+00   5.575263672089661e-02   4.071065391868849e-02
1.248571377864284e+00   6.312348308951768e-02   4.836588871048378e-02
1.344470156832053e+00   5.613171205140025e-02   5.155150426795294e-02
1.447734614663324e+00   6.103877063939782e-02   6.034835565661112e-02
1.558930485621915e+00   5.223073389072554e-02   6.370530818484274e-02
1.678666956213205e+00   5.387340754058757e-02   7.325374787602650e-02
1.807600002612004e+00   4.205003959253396e-02   7.602246037354336e-02
1.946435984427591e+00   3.949537291826706e-02   8.540182884134039e-02
2.095935514494364e+00   2.344464896766128e-02   8.613756797984258e-02
2.256917625888753e+00   1.592975900866907e-02   9.363045212001810e-02
2.430264259001381e+00  -5.112454956546657e-03   8.994780552031496e-02
2.616925093246914e+00  -1.750424757311479e-02   9.285438346694046e-02
2.817922749882108e+00  -4.293028583599693e-02   8.138538169597652e-02
3.034358394435675e+00  -5.806536835195215e-02   7.625701418518774e-02
3.267417769442918e+00  -8.443837687273714e-02   5.331840281941071e-02
3.518377690535413e+00  -9.651641994648259e-02   3.728410637826844e-02
3.788613041474606e+00  -1.160353562902818e-01   1.088918303862871e-03
4.079604306451588e+00  -1.145716151033802e-01  -2.482185562667677e-02
4.392945680918757e+00  -1.152746912280352e-01  -6.966985038573692e-02
4.730353805388542e+00  -8.753115163764941e-02  -9.508370436510773e-02
5.093677170047323e+00  -5.917367601312370e-02  -1.320457796877950e-01
5.484906241707685e+00  -6.660378399098311e-04  -1.333188913518803e-01
5.906184368579528e+00   4.966494483361900e-02  -1.345679831656020e-01
6.359819522601831e+00   1.157206357429209e-01  -8.403605511993056e-02
6.848296943665372e+00   1.448966611107768e-01  -3.270153309655380e-02
7.374292754997836e+00   1.588998330585965e-01   6.374700977990792e-02
7.940688624303139e+00   1.031590212340854e-01   1.243720031600276e-01
8.550587550976035e+00   2.389465737393602e-02   1.818967705583269e-01
9.207330865882248e+00  -1.007600802615937e-01   1.375740652175917e-01
9.914516536837411e+00  -1.701081679147513e-01   5.811873304105276e-02
1.067601888007134e+01  -1.806596339730873e-01  -1.043087758627017e-01
1.149600978566695e+01  -5.044220811489127e-02  -1.815595823147628e-01
1.237898157325731e+01   1.067558829070489e-01  -1.819917129979687e-01
1.332977160319577e+01   2.243843205181916e-01   1.631402693428312e-02
1.435358877803146e+01   1.124861192136151e-01   1.752375632474410e-01
1.545604207947845e+01  -1.060750025290042e-01   2.152308945759099e-01
1.664317129721834e+01  -2.494689576049384e-01  -6.135834728025826e-02
1.792148011788406e+01  -2.532563907981785e-02  -2.260012732339317e-01
1.929797175550276e+01   2.313093162590108e-01  -1.058818826360049e-01
