# 241 point Hankel filter, J0 and J1
# ==================================
#
# Designed and tested for dipole antenna radiation in a conductive medium.
#
#
# > Kong, F. N, 2007;
# > Hankel transform filters for dipole antenna radiation in a conductive
# > medium;
# > Geophysical Prospecting, 55(1), 83-89;
# > DOI: 10.1111/j.1365-2478.2006.00585.x
#
#
# These filter values are available from
#
#   http://www.em-earth-consulting.no
#
# in the three files YBASE241.dat, J0K241.dat, and J1K241.dat.
# Please consult the original source for more details.
#
#
# Copyright 2007 Fannian Kong
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                     j0                       j1
4.0973497897978643e-04   2.0521734894828349e+01  -6.8036776043707992e+00
4.3725238042414673e-04  -1.8902686822627982e+02   1.2311367914708828e+02
4.6661782370309847e-04   7.3615711333621391e+02  -6.0393880274694629e+02
4.9795542150327349e-04  -1.5743636401162100e+03   1.4366739793969700e+03
5.3139762179825294e-04   1.9044172285355407e+03  -1.8485584122626103e+03
5.6708576763830356e-04  -9.3177949828687565e+02   1.0200389392810666e+03
6.0517069453505309e-04  -8.4756674787751410e+02   5.5616172944428206e+02
6.4581336796593124e-04   1.8896580243120454e+03  -1.3603216652028611e+03
6.8918556369279311e-04  -1.4364973619770130e+03   7.0167261135195611e+02
7.3547059377007120e-04   3.9999475225222255e+02   5.3402931472384910e+02
7.8486408131093165e-04  -1.3542454844021287e+02  -1.1429297666385887e+03
8.3757478728596971e-04   9.2532241451272546e+02   9.0089651035093164e+02
8.9382549284889267e-04  -1.9710056537324476e+03  -4.1234322841018411e+02
9.5385394091834482e-04   2.4446279171484089e+03   2.0384051761852257e+02
1.0179138409954376e-03  -2.1906123203102729e+03  -2.8956552394430940e+02
1.0862759414638579e-03   1.5850478978775775e+03   4.0377046372586426e+02
1.1592291739045914e-03  -1.0505328230896389e+03  -3.6323786432883537e+02
1.2370818742617167e-03   7.6984613632493506e+02   1.8298774315085831e+02
1.3201630860205026e-03  -7.0040976495766233e+02   1.9289907486739775e+01
1.4088239509056637e-03   7.1606276337453505e+02  -1.4580899521803201e+02
1.5034391929775724e-03  -7.1676220487815579e+02   1.6824962609150825e+02
1.6044087023989032e-03   6.6234563164374151e+02  -1.1236235241859872e+02
1.7121592255655228e-03  -5.5792724680287802e+02   2.2347944322515357e+01
1.8271461687448972e-03   4.2758743543890813e+02   6.4941329832499832e+01
1.9498555228451206e-03  -2.9556591300691770e+02  -1.2923900641568204e+02
2.0808059174495293e-03   1.7825665706981184e+02   1.6503157425386775e+02
2.2205508127982939e-03  -8.3414675513698882e+01  -1.7577683834104877e+02
2.3696808389813539e-03   1.2417017098470755e+01   1.6854431620724952e+02
2.5288262922292556e-03   3.7033552727335611e+01  -1.5058653072004714e+02
2.6986597988524685e-03  -6.8808606022416711e+01   1.2774003008692418e+02
2.8798991580882404e-03   8.7059849275066583e+01  -1.0402698302316379e+02
3.0733103758703055e-03  -9.5546538383371242e+01   8.1858707646356891e+01
3.2797109023435700e-03   9.7381161313521631e+01  -6.2444337865410809e+01
3.4999730868071656e-03  -9.4989208296887298e+01   4.6197726342228336e+01
3.7350278646880674e-03   9.0188673544147917e+01  -3.3061362052896769e+01
3.9858686921282905e-03  -8.4292718636942382e+01   2.2733224772330665e+01
4.2535557448151254e-03   7.8226832173348868e+01  -1.4810952273048434e+01
4.5392203988006852e-03  -7.2614408878060885e+01   8.8755599393231179e+00
4.8440700122489664e-03   6.7859682477117360e+01  -4.5352205696513836e+00
5.1693930283203291e-03  -6.4196278592205076e+01   1.4449219838043461e+00
5.5165644207607716e-03   6.1741547025682522e+01   6.8743711356557613e-01
5.8870515052116155e-03  -6.0519141387284385e+01  -2.1019399621163908e+00
6.2824201408011177e-03   6.0491769334480402e+01   2.9910240715100782e+00
6.7043413482289257e-03  -6.1560425911383518e+01  -3.5052807631070255e+00
7.1545983723145792e-03   6.3581206383691445e+01   3.7597471619400826e+00
7.6350942188599617e-03  -6.6354594873531482e+01  -3.8399078959004260e+00
8.1478596976799818e-03   6.9646829420226268e+01   3.8072695188293357e+00
8.6950620057954561e-03  -7.3188103112902326e+01  -3.7042465619688505e+00
9.2790138870647437e-03   7.6708283429767803e+01   3.5586759844836791e+00
9.9021834069673818e-03  -7.9940731778724427e+01  -3.3877703451391699e+00
1.0567204383852655e-02   8.2660409124105158e+01   3.2017608368233237e+00
1.1276887520740558e-02  -8.4678217919647295e+01  -3.0067309393330288e+00
1.2034232284723775e-02   8.5870333056460041e+01   2.8068645418014970e+00
1.2842439584178571e-02  -8.6157409171557106e+01  -2.6056123347708602e+00
1.3704925297364945e-02   8.5526114160418373e+01   2.4063835683466084e+00
1.4625334709594208e-02  -8.3997300873449348e+01  -2.2124155853618990e+00
1.5607557919982831e-02   8.1646015415233720e+01   2.0267333591783983e+00
1.6655746282908664e-02  -7.8563495286564020e+01  -1.8516694378892813e+00
1.7774329953659442e-02   7.4879819626555161e+01   1.6889204130272601e+00
1.8968036612429941e-02  -7.0721125046688840e+01  -1.5392291077389748e+00
2.0241911445804381e-02   6.6236029868394425e+01   1.4027911155907105e+00
2.1601338470175833e-02  -6.1547931592552032e+01  -1.2791049665324250e+00
2.3052063287225571e-02   5.6787391190038285e+01   1.1676349053464947e+00
2.4600217367638302e-02  -5.2042250889790630e+01  -1.0675953584302726e+00
2.6252343965687961e-02   4.7401124144337359e+01   9.7863461730665857e-01
2.8015425774221808e-02  -4.2904131591225969e+01  -9.0027354444851670e-01
2.9896914436926308e-02   3.8598898252452933e+01   8.3249709182475107e-01
3.1904762042607962e-02  -3.4488213955995406e+01  -7.7482174407455295e-01
3.4047454734599344e-02   3.0594494176351635e+01   7.2701622202684046e-01
3.6334048577339996e-02  -2.6898802810010366e+01  -6.8800213341352723e-01
3.8774207831722009e-02   2.3412439481509015e+01   6.5698937864345264e-01
4.1378245800970381e-02  -2.0106495314306827e+01  -6.3225165202126643e-01
4.4157168419692860e-02   1.6993408313817032e+01   6.1273246350052379e-01
4.7122720770327912e-02  -1.4047029053019282e+01  -5.9649977526660647e-01
5.0287436723591865e-02   1.1294767677459204e+01   5.8279442137494575e-01
5.3664691912730114e-02  -8.7239710357940154e+00  -5.6994253522747218e-01
5.7268760265467331e-02   6.3824509509500222e+00   5.5790401373575793e-01
6.1114874332588359e-02  -4.2667780201601095e+00  -5.4545052833277607e-01
6.5219289668127525e-02   2.4325051404370148e+00   5.3336442347695479e-01
6.9599353533269015e-02  -8.6492951505166771e-01  -5.2069797861987954e-01
7.4273578214333877e-02  -3.9467042614078562e-01   5.0887851227988856e-01
7.9261719264731550e-02   1.3928518582065126e+00  -4.9685712521558462e-01
8.4584859001564691e-02  -2.1151897072040806e+00   4.8646743314063406e-01
9.0265495609784266e-02   2.6442660480353983e+00  -4.7619096686921952e-01
9.6327638230493035e-02  -2.9851029846728716e+00   4.6816529269778301e-01
1.0279690843528640e-01   3.2414793692894390e+00  -4.6015156373071614e-01
1.0970064851551141e-01  -3.4159478759422446e+00   4.5466141540832178e-01
1.1706803704412637e-01   3.6114813897567299e+00  -4.4857363825706975e-01
1.2493021219858241e-01  -3.8065481471148583e+00   4.4499201335812283e-01
1.3332040336594936e-01   4.0881401855578137e+00  -4.3980181069680696e-01
1.4227407158651356e-01  -4.3995650940379534e+00   4.3704907382079500e-01
1.5182905942943059e-01   4.8090112941999275e+00  -4.3150722634129624e-01
1.6202575093388075e-01  -5.2256078193681690e+00   4.2859194645669874e-01
1.7290724229171636e-01   5.7072204037420695e+00  -4.2173773973311074e-01
1.8451952399298926e-01  -6.1390449324831593e+00   4.1817784119266610e-01
1.9691167520419406e-01   6.5839615678399346e+00  -4.0960162465920091e-01
2.1013607120076472e-01  -6.9164266653291033e+00   4.0553804034464430e-01
2.2424860473053532e-01   7.2188877597238257e+00  -3.9532815510851277e-01
2.3930892224375450e-01  -7.3636288680068356e+00   3.9136208758411489e-01
2.5538067598807768e-01   7.4607479507817942e+00  -3.7983009113722693e-01
2.7253179303401259e-01  -7.3815887701068963e+00   3.7671762005172676e-01
2.9083476236785155e-01   7.2656732754121194e+00  -3.6406330003120191e-01
3.1036694126548503e-01  -6.9791586417386533e+00   3.6244935256730459e-01
3.3121088224198103e-01   6.6886849969172548e+00  -3.4854450330689657e-01
3.5345468195878016e-01  -6.2474308336775373e+00   3.4888232036420985e-01
3.7719235356315689e-01   5.8445619106015023e+00  -3.3325449310423266e-01
4.0252422403363597e-01  -5.3113072582819267e+00   3.3591600342224537e-01
4.2955735821073915e-01   4.8557012512460096e+00  -3.1786716813473143e-01
4.5840601130522352e-01  -4.2807487698944051e+00   3.2333450491673743e-01
4.8919211179633149e-01   3.8139742889863348e+00  -3.0206709086775535e-01
5.2204577676101604e-01  -3.2285888930306363e+00   3.1108664637173294e-01
5.5710586181217392e-01   2.7762320886023009e+00  -2.8574426655786522e-01
5.9452054797019427e-01  -2.2014921362632469e+00   2.9938562076378405e-01
6.3444796794822822e-01   1.7852627321359549e+00  -2.6899179718067823e-01
6.7705687449816465e-01  -1.2441166658179819e+00   2.8862849386853856e-01
7.2252735364207221e-01   8.9066883548526044e-01  -2.5197407940080729e-01
7.7105158580356625e-01  -4.1204139236605647e-01   2.7924443578937680e-01
8.2283465805601841e-01   1.5134230126345752e-01  -2.3479292380166417e-01
8.7809543092056130e-01   2.3623794557833316e-01   2.7158086404171844e-01
9.3706746337740343e-01  -3.8120367816755335e-01  -2.1743177724854762e-01
1.0000000000000000e+00   6.6106381680388782e-01   2.6585734716833231e-01
1.0671590243841926e+00  -6.8548466976773659e-01  -1.9977886402875333e-01
1.1388283833246218e+00   8.6073950596627435e-01   2.6215186968647208e-01
1.2153109864897309e+00  -7.8244282877711779e-01  -1.8169913895160320e-01
1.2969300866657718e+00   8.7517842089752496e-01   2.6037686710257568e-01
1.3840306459807514e+00  -7.3021880955390983e-01  -1.6314391449016330e-01
1.4769807938826425e+00   7.7262232832472633e-01   2.6022362236599678e-01
1.5761733830339912e+00  -6.0480748494904057e-01  -1.4430969552882361e-01
1.6820276496988864e+00   6.2658579242671697e-01   2.6106112640293244e-01
1.7949909856399000e+00  -4.7604045939428874e-01  -1.2585051878275111e-01
1.9155408290138962e+00   4.9376650403683020e-01   2.6176557155826263e-01
2.0441866822585570e+00  -3.8947933764667242e-01  -1.0912157374630198e-01
2.1814722654982011e+00   4.0212565692397595e-01   2.6047541087804182e-01
2.3279778145702346e+00  -3.6042458247357878e-01  -9.6410349758274366e-02
2.4843225333848169e+00   3.5204231781815948e-01   2.5434822704405619e-01
2.6511672109826070e+00  -3.7930843668720610e-01  -9.1058907636613021e-02
2.8292170143515598e+00   3.2733689195982146e-01   2.3952590152331843e-01
3.0192244688065686e+00  -4.2315508593901219e-01  -9.7233907394681532e-02
3.2219926385284996e+00   3.0989441332277490e-01   2.1169127037476246e-01
3.4383785207051250e+00  -4.6647831068082313e-01  -1.1886530901829440e-01
3.6692966676192444e+00   2.9127018318261688e-01   1.6780342130647322e-01
3.9157230519927220e+00  -4.8705387071535239e-01  -1.5708700322500274e-01
4.1786991919232470e+00   2.7698618486052751e-01   1.0962587924131692e-01
4.4593365528478257e+00  -4.6732646495222491e-01  -2.0578176345887339e-01
4.7588212451378542e+00   2.8247063840665948e-01   4.8885661268589009e-02
5.0784190371800815e+00  -3.9734195755492102e-01  -2.4642892106977957e-01
5.4194807051312059e+00   3.2057830222839734e-01   1.1194065592765716e-02
5.7834477419567749e+00  -2.8520009926766782e-01  -2.4747581882772479e-01
6.1718584498835538e+00   3.8137726386396886e-01   3.0611266302904498e-02
6.5863544420150681e+00  -1.7293887127458049e-01  -1.7906330306689583e-01
7.0286875805892945e+00   4.1451464616516831e-01   1.2284053143305627e-01
7.5007273812029629e+00  -1.3721835010891198e-01  -5.2283741701101033e-02
8.0044689142963534e+00   3.4710931937928907e-01   2.3805370442772930e-01
8.5420412372940930e+00  -2.3427502149669574e-01   3.8699307341758679e-02
9.1157163930403051e+00   1.7531537381430198e-01   2.4690725918834208e-01
9.7279190125598838e+00  -3.8202053727848895e-01  -3.8424035688006668e-02
1.0381236562731843e+01   6.9544164681199228e-02   7.1201119703791560e-02
1.1078430282186428e+01  -3.4148035441124835e-01  -2.3889263981505893e-01
1.1822446851646363e+01   2.2691549707658903e-01  -7.7114690286621504e-02
1.2616430848036902e+01  -7.7194405672412439e-02  -2.1836754494419724e-01
1.3463738035001692e+01   3.9072641204282460e-01   1.2315414896678636e-01
1.4367949545996751e+01  -8.3147250278941501e-02   7.5338270471735747e-02
1.5332887019907195e+01   9.2847198484461116e-02   2.7696240054976468e-01
1.6362628753157214e+01  -3.6217207710792204e-01  -6.8197423407317256e-02
1.7461526936579997e+01   1.0822725873639430e-02  -9.2154357023181005e-02
1.8634226049899006e+01   5.1804674714713058e-03  -2.7364306064385413e-01
1.9885682491564729e+01   3.1786543576503390e-01   1.4776915895856893e-01
2.1221185526912038e+01  -7.5374320952788773e-02   1.5391397605873250e-01
2.2646379643175401e+01  -1.9068492965240180e-01   1.1202666775507018e-01
2.4167288405845099e+01  -8.3243368421653877e-02  -3.3501468763636766e-01
2.5790339917193062e+01   2.8203125407893237e-01   5.3448876160720617e-02
2.7522393984568446e+01  -1.6118506235275606e-02   1.8824613952112992e-01
2.9370771113289432e+01  -2.6963245268577724e-01  -4.6814043305072224e-03
3.1343283446669389e+01   1.9777266987246947e-01  -3.0449707752313021e-01
3.3448267783944921e+01   8.3472930934463230e-02   3.7651614016005935e-01
3.5694620815655881e+01  -2.7664291725690993e-01  -2.0743158205566595e-01
3.8091836725399020e+01   2.8131050087465398e-01  -1.1420479303107758e-02
4.0650047316878776e+01  -1.7190500226396740e-01   1.4728687125987736e-01
4.3380064835851620e+01   4.7929281626787730e-02  -1.8431611574819040e-01
4.6293427667950432e+01   4.0609103740114338e-02   1.6270659034524407e-01
4.9402449105530195e+01  -8.8052363812875192e-02  -1.2222143749935742e-01
5.2720269389647328e+01   1.0655635530077956e-01   8.4181157909789264e-02
5.6260911247127851e+01  -1.0911039889769197e-01  -5.5281360387327068e-02
6.0039339157450577e+01   1.0429389492393636e-01   3.5292561498256686e-02
6.4071522599936642e+01  -9.6633502650203901e-02  -2.1995586173467183e-02
6.8374503548558152e+01   8.8193660973234708e-02   1.3230592337602392e-02
7.2966468499632811e+01  -7.9818272272792340e-02  -7.4157047320195287e-03
7.7866825336828100e+01   7.1826372817129266e-02   3.5088522519723777e-03
8.3096285358343764e+01  -6.4338746209327960e-02  -8.5018538826118518e-04
8.8676950812960627e+01   5.7410843811670373e-02  -9.7550322159493529e-04
9.4632408314924064e+01  -5.1077264811879450e-02   2.2326305963338822e-03
1.0098782853248096e+02   4.5360450730759908e-02  -3.0933635050624424e-03
1.0777007257140046e+02  -4.0267658416644959e-02   3.6729552029512069e-03
1.1500780550310940e+02   3.5786523769444523e-02  -4.0509173928643906e-03
1.2273161751726525e+02  -3.1883184387833892e-02   4.2837535729585508e-03
1.3097415321081860e+02   2.8503987928848736e-02  -4.4126872566431202e-03
1.3977024956000301e+02  -2.5580391582215669e-02   4.4684173716055568e-03
1.4915708315838788e+02   2.3035937972928848e-02  -4.4741053242745125e-03
1.5917432734329714e+02  -2.0793869607217731e-02   4.4473069057176040e-03
1.6986431987468302e+02   1.8783956187539304e-02  -4.4012645981419867e-03
1.8127224187515122e+02  -1.6947463041594817e-02   4.3457940693551285e-03
1.9344630878742183e+02   1.5239810059902827e-02  -4.2878952176510369e-03
2.0643797415630826e+02  -1.3631136080120022e-02   4.2321726027587606e-03
2.2030214709649516e+02   1.2105408954537602e-02  -4.1811395672186466e-03
2.3509742436523857e+02  -1.0658744979296539e-02   4.1354762911556932e-03
2.5088633802084459e+02   9.2973012802827770e-03  -4.0942937154137878e-03
2.6773561971364717e+02  -8.0347421903655229e-03   4.0554223224550864e-03
2.8571648272651305e+02   6.8891191289946248e-03  -4.0157136359124266e-03
3.0490492295690876e+02  -5.8791440085348362e-03   3.9713297394453244e-03
3.2538204011263201e+02   5.0201744968206546e-03  -3.9180044788809047e-03
3.4723438047873475e+02  -4.3205477515280673e-03   3.8512768724064841e-03
3.7055430270433595e+02   3.7790104974130003e-03  -3.7667091650295829e-03
3.9544036815532411e+02  -3.3838316346466528e-03   3.6601079883520934e-03
4.2199775748276141e+02   3.1138040173687830e-03  -3.5277760443730628e-03
4.5033871516762099e+02  -2.9408759849158255e-03   3.3668346001750932e-03
4.8058302392070897e+02   2.8337622799129800e-03  -3.1756548702066185e-03
5.1285851094282907e+02  -2.7617063348841968e-03   2.9543911277564146e-03
5.4730158818487951e+02   2.6976528553792770e-03  -2.7055140265840505e-03
5.8405782889129489e+02  -2.6203758209448719e-03   2.4341413354852411e-03
6.2328258286358414e+02   2.5154519816519300e-03  -2.1479350621587340e-03
6.6514163304436181e+02  -2.3752432671978732e-03   1.8564376110443456e-03
7.0981189619693009e+02   2.1981931889228849e-03  -1.5699285271508928e-03
7.5748217064180938e+02  -1.9877598903184075e-03   1.2980859369581127e-03
8.0835393421053413e+02   1.7512378319139862e-03  -1.0488156933979571e-03
8.6264219578923701e+02  -1.4986007967920582e-03   8.2752974192331252e-04
9.2057640405108020e+02   1.2413783399553321e-03  -6.3697315746016306e-04
9.8240141721825944e+02  -9.9151066433110242e-04   4.7751718968428873e-04
1.0483785379522853e+03   7.6014790547529541e-04  -3.4772734444372060e-04
1.1187866177464875e+03  -5.5645455379022023e-04   2.4499928240303252e-04
1.1939232354884318e+03   3.8658922048399793e-04  -1.6610663484386119e-04
1.2741059551734540e+03  -2.5308541294203246e-04   1.0758513633705277e-04
1.3596736680849924e+03   1.5481736123335846e-04  -6.5954676827986505e-05
1.4509880251144575e+03  -8.7598356988947244e-05   3.7834534141493396e-05
1.5484349652742915e+03   4.5276882194925013e-05  -2.0025414475625305e-05
1.6524263468644833e+03  -2.1044884609057091e-05   9.6121169858568779e-06
1.7634016881866382e+03   8.6194148443616213e-06  -4.0939692455506115e-06
1.8818300251626902e+03  -3.0265483432492266e-06   1.5034842918522733e-06
2.0082118937094979e+03   8.7586378588036060e-07  -4.5718370169166360e-07
2.1430814452477584e+03  -1.9631579670478718e-07   1.0805490301555136e-07
2.2870087042864643e+03   3.0405955678339503e-08  -1.7684735514194769e-08
2.4406019776245007e+03  -2.4535953018971818e-09   1.5081394131412287e-09
