# 61 point Hankel filter, J0 and J1
# =================================
#
# Designed and tested for dipole antenna radiation in a conductive medium.
#
#
# > Kong, F. N, 2007;
# > Hankel transform filters for dipole antenna radiation in a conductive
# > medium;
# > Geophysical Prospecting, 55(1), 83-89;
# > DOI: 10.1111/j.1365-2478.2006.00585.x
#
#
# These filter values are available from
#
#   http://www.em-earth-consulting.no
#
# in the three files YBASE61NEW.dat, J0K61NEW.dat, and J1K61NEW.dat.
# Please consult the original source for more details.
#
# The appendix "b" after the year indicates that it corresponds to the NEW
# set of filter values.
#
#
# Copyright 2007 Fannian Kong
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                     j0                       j1
2.3517745856009100e-02   1.4463210615326700e+02   4.6440396425864920e+01
2.6649097336355480e-02  -1.1066222143752420e+03  -4.5034239857914160e+02
3.0197383422318500e-02   3.7030010025325980e+03   1.7723440076223640e+03
3.4218118311666030e-02  -6.8968188464424520e+03  -3.7559735516994660e+03
3.8774207831722010e-02   7.1663544112656940e+03   4.4736494009764140e+03
4.3936933623407420e-02  -2.4507884783377680e+03  -2.2476603569606070e+03
4.9787068367863940e-02  -4.0166567754046080e+03  -1.5219842155931800e+03
5.6416139503777350e-02   6.8623845298546090e+03   3.4904608559273800e+03
6.3927861206707570e-02  -5.0013321011775660e+03  -2.4814243247472320e+03
7.2439757034251460e-02   2.1291291365196650e+03   5.7328164634108400e+02
8.2084998623898800e-02  -1.3845222435542290e+03   5.3132044837659630e-01
9.3014489210663500e-02   2.1661554291595580e+03   6.8895205008006230e+02
1.0539922456186430e-01  -2.2260393789657140e+03  -1.2012013872160270e+03
1.1943296826671960e-01   8.0317156013986390e+02   7.9679138423597340e+02
1.3533528323661270e-01   1.0142221718890840e+03   4.9874460187939820e+01
1.5335496684492850e-01  -1.9350455051432630e+03  -5.6367338332457010e+02
1.7377394345044520e-01   1.6601169447226580e+03   4.7971936503711200e+02
1.9691167520419400e-01  -7.5159684285420130e+02  -5.8979702298044560e+01
2.2313016014842980e-01  -9.0315984178183280e+01  -3.1935800954986920e+02
2.5283959580474640e-01   5.0705574889546150e+02   4.5762551999442370e+02
2.8650479686019010e-01  -5.1207646422722520e+02  -3.7239927283248380e+02
3.2465246735834980e-01   2.9722959494490040e+02   1.8255852885279570e+02
3.6787944117144240e-01  -5.0248319908072990e+01  -2.3504740340815670e-01
4.1686201967850840e-01  -1.2290725861955920e+02  -1.1588151583545380e+02
4.7236655274101470e-01   1.9695244755899430e+02   1.5740956677133170e+02
5.3526142851899030e-01  -1.9175679966946600e+02  -1.4334746114883360e+02
6.0653065971263340e-01   1.4211755630338590e+02   9.9857411013284820e+01
6.8728927879097220e-01  -7.7463216543224150e+01  -4.8246322019171490e+01
7.7880078307140490e-01   1.7638009334931200e+01   2.0371404343057380e+00
8.8249690258459550e-01   2.8855056499202670e+01   3.3003938094974320e+01
1.0000000000000000e+00  -5.9225643887809560e+01  -5.5476151884197710e+01
1.1331484530668260e+00   7.5987941373668960e+01   6.7354852323852580e+01
1.2840254166877420e+00  -8.1687962781233580e+01  -7.0735403363284120e+01
1.4549914146182010e+00   8.0599209238447100e+01   6.8872932663164750e+01
1.6487212707001280e+00  -7.4895905328771620e+01  -6.3272750944993040e+01
1.8682459574322220e+00   6.7516291538794430e+01   5.6501568721817440e+01
2.1170000166126750e+00  -5.9325033647358050e+01  -4.8706577819918110e+01
2.3988752939670980e+00   5.1617042242841530e+01   4.1737211284663480e+01
2.7182818284590450e+00  -4.4664967446820260e+01  -3.4776621242200900e+01
3.0802168489180310e+00   3.8366152052928280e+01   2.9161717578906430e+01
3.4903429574618420e+00  -3.3308787868993100e+01  -2.3886749056000910e+01
3.9550767229205770e+00   2.8278671651033460e+01   1.9554007583544220e+01
4.4816890703380640e+00  -2.4505863388620480e+01  -1.5966397353366460e+01
5.0784190371800810e+00   2.0469632532079750e+01   1.2429310210239200e+01
5.7546026760057310e+00  -1.7074034940700430e+01  -1.0139180791868180e+01
6.5208191203301120e+00   1.4206119215530070e+01   7.4716493393871860e+00
7.3890560989306500e+00  -1.0904435643084650e+01  -5.5509479014742610e+00
8.3728974881272650e+00   8.7518389425802280e+00   4.3380799768234210e+00
9.4877358363585260e+00  -6.7721665239085620e+00  -2.5911516181746550e+00
1.0751013186076360e+01   4.5096884588095890e+00   1.6300524630626780e+00
1.2182493960703470e+01  -3.2704247166629590e+00  -1.4041567266387460e+00
1.3804574186067100e+01   2.6827195063720430e+00   7.5225141726873210e-01
1.5642631884188170e+01  -1.8406031821386460e+00   4.6808777208492730e-02
1.7725424121461640e+01   9.1586697140412440e-01  -3.6630197849601160e-01
2.0085536923187670e+01  -3.2436011485890800e-01   2.8948389902792780e-01
2.2759895093526730e+01   8.0675176189581890e-02  -1.3705521898064800e-01
2.5790339917193060e+01  -1.2881307195759690e-02   4.6292091649913010e-02
2.9224283781234940e+01   7.0489137468452920e-04  -1.1721281347435180e-02
3.3115451958692310e+01   2.3846917590855060e-04   2.2002397354029150e-03
3.7524723159601000e+01  -6.9102205995825530e-05  -2.8146036357227600e-04
4.2521082000062780e+01   6.7792635718095780e-06   1.8788896009128770e-05
