# 2001 point Hankel filter, J0 and J1
# ===================================
#
# Designed and tested for ground-penetrating radar (GPR).
#
# See the notebook `Filter-wer2001.ipynb` in the repo
# https://github.com/emsig/article-fdesign
#
#
# > Werthmüller, D., K. Key, and E. Slob, 2019;
# > A tool for designing digital filters for the Hankel and Fourier
# > transforms in potential, diffusive, and wavefield modeling;
# > Geophysics, 84(2), F47-F56;
# > DOI: 10.1190/geo2018-0069.1
#
#
# Copyright 2018 Dieter Werthmüller
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                       j0                         j1
6.849714105668035756e-04   6.629117448480464914e-05   1.096726660612037435e-08
6.904358026670898976e-04  -5.510173482059452921e-05  -1.595117075990301195e-08
6.959437872160025365e-04   4.570026553255225794e-05   1.545540334423306596e-08
7.014957119743798477e-04  -1.679053952120631617e-05  -9.624269454544629266e-09
7.070919274773386064e-04   1.837759752354182881e-05   7.393282696970178414e-09
7.127327870564064772e-04  -9.634667988540531721e-07  -3.330097443352736812e-09
7.184186468618301239e-04   9.529864818311162720e-06   3.355612343191625354e-09
7.241498658850615633e-04   3.850615229821260386e-06  -6.889142673506344333e-10
7.299268059814246036e-04   6.898789276018900247e-06   1.841823919500624698e-09
7.357498318929609361e-04   5.310672447901429757e-06   3.489589772040264506e-10
7.416193112714593479e-04   6.148437947391210619e-06   1.321342240351395588e-09
7.475356147016684908e-04   5.773520543789774741e-06   7.814008391280724621e-10
7.534991157246940727e-04   5.974144856919154611e-06   1.171726416524059496e-09
7.595101908615843741e-04   5.944879132888028218e-06   9.908769458062648677e-10
7.655692196371017069e-04   5.979546036828909631e-06   1.160291935460509406e-09
7.716765846036856670e-04   6.033125214496014105e-06   1.118431480749876045e-09
7.778326713656061233e-04   6.048309029267372519e-06   1.202484661178847604e-09
7.840378686033094109e-04   6.097315041464436507e-06   1.214975047617979726e-09
7.902925680979583801e-04   6.140457443800650916e-06   1.267888611772355297e-09
7.965971647561693363e-04   6.165165581637176558e-06   1.299398155828853618e-09
8.029520566349443531e-04   6.228748839655769517e-06   1.344749306337774223e-09
8.093576449668047051e-04   6.257060612088594184e-06   1.379688714012289256e-09
8.158143341851229260e-04   6.298753004029584250e-06   1.427846693243458444e-09
8.223225319496582641e-04   6.374829432704808889e-06   1.459691997046959597e-09
8.288826491722943402e-04   6.358434564116948561e-06   1.514683115627738377e-09
8.354951000429861659e-04   6.500798400663827976e-06   1.541492644526464240e-09
8.421603020559066547e-04   6.428073489193651417e-06   1.603743552211670834e-09
8.488786760358089977e-04   6.615509391838360486e-06   1.626786632497106694e-09
