# 201 point Hankel filter, J0 and J1
# ==================================
#
# Designed and tested for controlled-source electromagnetic data.
#
# See the notebook `Filter-wer201.ipynb` in the repo
# https://github.com/emsig/article-fdesign
#
#
# > Werthmüller, D., K. Key, and E. Slob, 2019;
# > A tool for designing digital filters for the Hankel and Fourier
# > transforms in potential, diffusive, and wavefield modeling;
# > Geophysics, 84(2), F47-F56;
# > DOI: 10.1190/geo2018-0069.1
#
#
# Copyright 2018 Dieter Werthmüller
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                       j0                         j1
8.653980893285999343e-04   2.940900904253498815e+00  -2.594301879688918743e-03
9.170399868578506730e-04  -1.601154970027019786e+01   2.339490069567079153e-02
9.717635708540675208e-04   3.574488144287594338e+01  -9.478827695764932559e-02
1.029752738345341345e-03  -3.775710631592443178e+01   2.269100107268227362e-01
1.091202360259058363e-03   9.347313619702582344e+00  -3.508900104631907935e-01
1.156318936280037154e-03   1.903333998229986435e+01   3.515648778060092017e-01
1.225321288786770891e-03  -1.266160545445113073e+01  -1.994483426338835574e-01
1.298441298197734088e-03  -1.274822633210828471e+01   9.293484158449249674e-03
1.375924682198844014e-03   1.499040669570122830e+01   8.048790331434139966e-02
1.458031821470676028e-03   1.128114232815630835e+01  -5.691508909482047296e-02
1.545038634690233410e-03  -3.141814347069891511e+01   2.075411236619714023e-02
1.637237505747725754e-03   2.185520874118305557e+01  -5.275228907131672418e-02
1.734938266294200121e-03   4.204688908817206361e+00   1.348060780914397960e-01
1.838469236921894991e-03  -2.039396651211594147e+01  -1.939017682982676627e-01
1.948178330476121357e-03   1.703214350560853418e+01   1.854125006516780250e-01
2.064434221206373505e-03  -3.858035665251962953e+00  -1.238162114378456441e-01
2.187627583685520637e-03  -5.664929771474184861e+00   5.435433909585837137e-02
2.318172405660454734e-03   6.236013601339658763e+00  -1.270327896980103649e-02
2.456507379246002792e-03  -8.349084962847823643e-01   7.560629247467166685e-03
2.603097375137131825e-03  -5.076648434675173682e+00  -2.713648547163816441e-02
2.758435004793547123e-03   8.069437229646323928e+00   5.383176198347366936e-02
2.923042275846299189e-03  -7.693517618528387558e+00  -7.463014212375274070e-02
3.097472346289414230e-03   5.264540454351635645e+00   8.413254388281748986e-02
3.282311383351382318e-03  -2.378232295562936471e+00  -8.280914671407160754e-02
3.478180533293271509e-03   9.488986688091295696e-02   7.393816085156304507e-02
3.685738008752825322e-03   1.211665432819921451e+00  -6.119942568117115594e-02
3.905681300649099623e-03  -1.641788465968915700e+00   4.746907894866293082e-02
4.138749522080598965e-03   1.505783472315168181e+00  -3.450474036399159977e-02
4.385725892093550113e-03  -1.120376089133631847e+00   2.313104032185092293e-02
4.647440367666977670e-03   7.202627618735454318e-01  -1.354138672902785445e-02
4.924772432759196537e-03  -4.293308092527763353e-01   5.604638952874172256e-03
5.218654053788364042e-03   2.880519253847271255e-01   9.486899997092870969e-04
5.530072811478751842e-03  -2.765909110132210857e-01  -6.382314415042419746e-03
5.860075219597365645e-03   3.540771325316399709e-01   1.091601370650388016e-02
6.209770241733286907e-03  -4.702415607316920432e-01  -1.467479730415811347e-02
6.580333017937914017e-03   5.886079250132733032e-01   1.771829574440562591e-02
6.973008813749223544e-03  -6.804407177384068639e-01  -2.001990396213982823e-02
7.389117204870794542e-03   7.365579045711867501e-01   2.152720536808908763e-02
7.830056511567909730e-03  -7.516232294769148448e-01  -2.214634467574278301e-02
8.297308497682591086e-03   7.332518369461620278e-01   2.181839780171816040e-02
8.792443350058264107e-03  -6.840940481215002089e-01  -2.049006667874660528e-02
9.317124955107483966e-03   6.145375558739786248e-01   1.819226618052163791e-02
9.873116490254248145e-03  -5.263752170486778459e-01  -1.498058384418661862e-02
1.046228634904101083e-02   4.305607160730071659e-01   1.101097898088004151e-02
1.108661441981135046e-02  -3.307504282674695872e-01  -6.444381466006598655e-03
1.174819873906770597e-02   2.429511351824290011e-01   1.527769500667217105e-03
1.244926254186268406e-02  -1.749591466871897039e-01   3.533045890696502513e-03
1.319216173291635694e-02   1.456366850874822316e-01  -8.470577184056853060e-03
1.397939280356631266e-02  -1.595894233786172844e-01   1.310891443998619434e-02
1.481360122115480543e-02   2.280395161025021433e-01  -1.722186749311952272e-02
1.569759031904567614e-02  -3.413711397379035062e-01   2.071070403809925978e-02
1.663433071714528685e-02   4.950015142033588056e-01  -2.340849145682623311e-02
1.762697030458526201e-02  -6.617826176259098414e-01   2.528895672008608583e-02
1.867884481811322647e-02   8.243458750063681340e-01  -2.620974028011485712e-02
1.979348905174003331e-02  -9.468449720632085009e-01   2.617463680378217042e-02
2.097464873531334692e-02   1.012979648696065826e+00  -2.501974545161460978e-02
2.222629312193481060e-02  -9.946084380621768029e-01   2.276381800709064221e-02
2.355262832652090660e-02   8.932243609342348512e-01  -1.923696679546721411e-02
2.495811146033087569e-02  -7.019325270091921753e-01   1.454384146700743972e-02
2.644746560896089893e-02   4.480078578272302381e-01  -8.605818651281786635e-03
2.802569570413705746e-02  -1.456381084707468188e-01   1.738844503682727928e-03
2.969810534264444649e-02  -1.604285443826692914e-01   5.947517515245405624e-03
3.147031460891126092e-02   4.506359421881006022e-01  -1.385885800081448037e-02
3.334827896114080786e-02  -6.820827325803067165e-01   2.171703574368676753e-02
3.533830924445728605e-02   8.491728004462286705e-01  -2.872814698074024550e-02
3.744709289831891358e-02  -9.252486609867097700e-01   3.461838232135941440e-02
3.968171642946591998e-02   9.260533367474167443e-01  -3.858941536214401807e-02
4.204968922592208086e-02  -8.402031897556576645e-01   4.060565074712448042e-02
4.455896879207719985e-02   6.982570225067336045e-01  -4.004001014668581715e-02
4.721798748965116282e-02  -4.946654104012083719e-01   3.725276070158690944e-02
5.003568087440296575e-02   2.669962789856030194e-01  -3.184536604257427045e-02
5.302151772380819111e-02  -1.042528939201309117e-02   2.462644816656397312e-02
5.618553185661335353e-02  -2.319933928270803414e-01  -1.539955242663786951e-02
5.953835585119460899e-02   4.654858099944349514e-01   5.437594699869644464e-03
6.309125677603129312e-02  -6.436180173401860882e-01   5.315602443775078317e-03
6.685617405236506106e-02   7.780252822887177011e-01  -1.514798704965643165e-02
7.084575957628110043e-02  -8.272840865922600484e-01   2.414409295479183482e-02
7.507342023504076645e-02   8.197748606729908794e-01  -3.032245442310742278e-02
7.955336296053971967e-02  -7.271116816505861502e-01   3.416403682006976389e-02
