# 401 point Hankel filter, J0 and J1
# ==================================
#
# Designed and tested for controlled-source electromagnetic data.
#
#
# > Key, K., 2009;
# > 1D inversion of multicomponent, multifrequency marine CSEM data:
# > Methodology and synthetic studies for resolving thin resistive layers;
# > Geophysics, 74(2), F9-F20;
# > DOI: 10.1190/1.3058434
#
#
# Copyright 2009 Kerry Key
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                    j0                      j1
6.825603376334870e-08   0.000000000000000e+00   0.000000000000000e+00
7.375625734276621e-08   0.000000000000000e+00   0.000000000000000e+00
7.969970121723440e-08   9.824913062932289e-08   0.000000000000000e+00
8.612208106759941e-08   0.000000000000000e+00  -1.761153377678605e-10
9.306199062400369e-08   0.000000000000000e+00   0.000000000000000e+00
1.005611335855232e-07   0.000000000000000e+00   0.000000000000000e+00
1.086645742284082e-07   0.000000000000000e+00   0.000000000000000e+00
1.174210082088922e-07   0.000000000000000e+00   0.000000000000000e+00
1.268830551878997e-07   0.000000000000000e+00   0.000000000000000e+00
1.371075750361032e-07   1.587400592121677e-08   0.000000000000000e+00
1.481560095194920e-07   0.000000000000000e+00   3.440216255617151e-10
1.600947515187244e-07   0.000000000000000e+00   0.000000000000000e+00
1.729955440010014e-07   0.000000000000000e+00   0.000000000000000e+00
1.869359111419852e-07   8.566005894708157e-08   0.000000000000000e+00
2.019996241884814e-07   0.000000000000000e+00  -5.012130889133619e-10
2.182772048613791e-07   0.000000000000000e+00   0.000000000000000e+00
2.358664693239236e-07   0.000000000000000e+00   0.000000000000000e+00
2.548731159841640e-07   4.185852284487868e-08   5.096249946359556e-10
2.754113606638370e-07   0.000000000000000e+00   0.000000000000000e+00
2.976046229505788e-07   6.042919228413999e-08   0.000000000000000e+00
3.215862678579245e-07   0.000000000000000e+00  -5.137927435894773e-10
3.475004072499321e-07   0.000000000000000e+00   0.000000000000000e+00
3.755027658463905e-07   9.223778633040080e-08   4.901252024472790e-10
4.057616170126568e-07   0.000000000000000e+00   0.000000000000000e+00
4.384587939575313e-07   0.000000000000000e+00  -3.412499448385044e-10
4.737907824157171e-07   9.605835817155985e-08   0.000000000000000e+00
5.119699013810637e-07   0.000000000000000e+00   2.331695173457025e-10
5.532255789859379e-07   7.119233736108770e-08   0.000000000000000e+00
5.978057311938045e-07   0.000000000000000e+00  -2.490134046395816e-10
6.459782515899233e-07   1.084534194934211e-07   1.954047749927753e-10
6.980326212227157e-07   2.978122322309773e-08   0.000000000000000e+00
7.542816481697429e-07   0.000000000000000e+00  -8.103005437723991e-11
8.150633472817832e-07   2.229467165084615e-07   0.000000000000000e+00
8.807429714008947e-07  -1.762389145190478e-07   1.279088845538237e-10
9.517152062585649e-07   3.656694527170595e-07  -1.851480627564174e-10
1.028406542243639e-06  -2.190824497653861e-07   1.332990147779435e-10
1.111277837292621e-06   3.591123314594687e-07   0.000000000000000e+00
1.200827086303379e-06  -1.330459122900614e-07  -1.624963592448070e-10
1.297592413714413e-06   2.693078682355359e-07   3.098241711700410e-10
1.402155307232813e-06   0.000000000000000e+00  -4.149316491270542e-10
1.515144112143249e-06   1.681753537860265e-07   4.685626300171698e-10
1.637237807196195e-06   1.292951481169703e-07  -4.712327624043219e-10
1.769170084765623e-06   8.732830659371336e-08   4.305062986549322e-10
1.911733759794935e-06   2.394635732137388e-07  -3.542442130313303e-10
2.065785534025608e-06   3.263161048145093e-08   2.522911525991727e-10
2.232251144137991e-06   3.320472817306875e-07  -1.313966839434664e-10
2.412130924740802e-06   0.000000000000000e+00   0.000000000000000e+00
2.606505819638747e-06   4.140474794253468e-07   1.374783013515889e-10
2.816543877501467e-06  -1.691089584764466e-08  -2.736921677833286e-10
3.043507270968020e-06   4.929867154878337e-07   4.061582817302266e-10
3.288759881366484e-06  -2.351486069903310e-08  -5.279722941941932e-10
3.553775494627146e-06   5.748749293789135e-07   6.386355968571155e-10
3.840146657640719e-06  -2.296118919509815e-08  -7.315427954629247e-10
4.149594248281688e-06   6.634488608548862e-07   8.087932062353638e-10
4.483977816605428e-06  -1.578522272463715e-08  -8.640922282673907e-10
4.845306759362147e-06   7.602932506949016e-07   9.028429079409167e-10
5.235752394978102e-06  -3.950291386691670e-10  -9.186974584267662e-10
5.657661011565692e-06   8.657561597587320e-07   9.208119531836431e-10
6.113567966371402e-06   2.577126803166016e-08  -9.017596435374981e-10
6.606212921388751e-06   9.803339051961460e-07   8.746151932449153e-10
7.138556306690845e-06   6.493462588145047e-08  -8.291880695503223e-10
7.713797110415130e-06   1.105842139938396e-06   7.826366656707373e-10
8.335392102304759e-06   1.182703157662404e-07  -7.199240415978938e-10
9.007076606325931e-06   1.245710190589679e-06   6.630127031117425e-10
9.732886947188948e-06   1.861786291659876e-07  -5.898849811863955e-10
1.051718470566020e-05   1.404457760420360e-06   5.290634200040055e-10
1.136468292842132e-05   2.690715579072592e-07  -4.493240826470479e-10
1.228047444997721e-05   1.587041404534934e-06   3.886261259968761e-10
1.327006249680666e-05   3.680016417418645e-07  -3.037437366057724e-10
1.433939375766396e-05   1.798553595216537e-06   2.460094930171363e-10
1.549489411875887e-05   4.849140624691158e-07  -1.562353890563393e-10
1.674350727855744e-05   2.044272068810943e-06   1.042595244297130e-10
1.809273647424976e-05   6.226640605691353e-07  -9.277742086714826e-12
1.955068957062923e-05   2.329872825482119e-06  -3.359801793948191e-11
2.112612778233479e-05   7.849774436589454e-07   1.346759112142224e-10
2.282851832224015e-05   2.661676063084173e-06  -1.644581113778544e-10
2.466809129236741e-05   9.764401550293115e-07   2.735615970185790e-10
2.665590115919790e-05   3.046886487275798e-06  -2.856750577185324e-10
2.880389318280080e-05   1.202531755803571e-06   4.064174138388151e-10
3.112497519896879e-05   3.493832828910101e-06  -3.956626260990240e-10
3.363309518571897e-05   1.469704682136747e-06   5.339967379460912e-10
3.634332508027547e-05   4.012202093180585e-06  -4.942289770979441e-10
3.927195135021125e-05   1.785529348521925e-06   6.590721699414525e-10
4.243657286301518e-05   4.613260893326240e-06  -5.825238873978475e-10
4.585620664220731e-05   2.158900926480479e-06   7.864186241426929e-10
4.955140214551744e-05   5.310102517657744e-06  -6.626363292105279e-10
5.354436475185514e-05   2.600268757751806e-06   9.225771435176782e-10
5.785908919913498e-05   6.117954165362566e-06  -7.369977848939469e-10
6.252150377482026e-05   3.121898205359148e-06   1.075704953982971e-09
6.755962612566159e-05   7.054521021164678e-06  -8.079491312165849e-10
7.300373162293296e-05   3.738203205552756e-06   1.255853770105183e-09
7.888653529491450e-05   8.140366436119160e-06  -8.775982413533787e-10
8.524338841989974e-05   4.466138097026229e-06   1.475677833588153e-09
9.211249096110730e-05   9.399370737137856e-06  -9.478165158795805e-10
9.953512112007229e-05   5.325632087195220e-06   1.751454564451092e-09
1.075558833879609e-04   1.085928513468306e-05  -1.020150878388706e-09
1.162229765854152e-04   6.340092174159829e-06   2.104270247990516e-09
1.255884835016470e-04   1.255236713273140e-05  -1.095430340362651e-09
1.357086838732945e-04   7.537013084429620e-06   2.561356147221457e-09
1.466443925838176e-04   1.451609696381449e-05  -1.172968828002544e-09
1.584613251157513e-04   8.948708367122905e-06   3.157686036019299e-09
1.712304924519203e-04   1.679400873721405e-05  -1.249340900707534e-09
1.850286277986747e-04   1.061315399682074e-05   3.938151654389299e-09
1.999386476954356e-04   1.943668323451985e-05  -1.316804538118081e-09
2.160501502814794e-04   1.257494571773497e-05   4.960584143866221e-09
2.334599537141681e-04   2.250293226239968e-05  -1.361050365193285e-09
2.522726779741279e-04   1.488640124393654e-05   6.299594474808514e-09
2.726013735535827e-04   2.606118359025671e-05  -1.357732636276717e-09
2.945682008058004e-04   1.760885939507792e-05   8.051372567815041e-09
3.183051640380327e-04   3.019107498684298e-05  -1.267357938643338e-09
3.439549047593057e-04   2.081422548042667e-05   1.034000380570114e-08
3.716715588498817e-04   3.498528720118145e-05  -1.028333203364199e-09
4.016216828033581e-04   2.458680024846277e-05   1.332639788605693e-08
4.339852546074165e-04   4.055166655188445e-05  -5.481128505786461e-10
4.689567552777785e-04   2.902542214383600e-05   1.722132657425943e-08
5.067463375445843e-04   4.701571256263205e-05   3.079572462647345e-10
5.475810887141261e-04   3.424594329627977e-05   2.230389235352557e-08
5.917063952947988e-04   5.452351542272840e-05   1.731612035551629e-09
6.393874175876612e-04   4.038409635240394e-05   2.894640331467214e-08
6.909106831027882e-04   6.324519057873240e-05   3.992876253106220e-09
7.465858083766792e-04   4.759885125947362e-05   3.764713519770196e-08
8.067473595375511e-04   7.337888648387832e-05   7.470342606008511e-09
8.717568627991351e-04   5.607631517546404e-05   4.907355253852564e-08
9.420049769645596e-04   8.515549372910889e-05   1.269390990642245e-08
1.017913840995439e-03   6.603428945751648e-05   6.411984689966026e-08
1.099939610753318e-03   9.884406328190645e-05   2.040424455749986e-08
1.188575200157420e-03   7.772775341712903e-05   8.398456134765634e-08
1.284353243230985e-03   1.147579427511257e-04   3.163423793932673e-08
1.387849294835929e-03   9.145538883362232e-05   1.102763405195791e-07
1.499685289329845e-03   1.332619721204058e-04   4.782016944498328e-08
1.620533277929307e-03   1.075670047677990e-04   1.451576997806275e-07
1.751119467238237e-03   1.547811559467743e-04   7.095396726449770e-08
1.892228583209940e-03   1.264719996713977e-04   1.915405053682995e-07
2.044708586766894e-03   1.798108274980929e-04   1.037907010433357e-07
2.209475769415756e-03   1.486493783884393e-04   2.533530424909100e-07
2.387520259478373e-03   2.089282897741272e-04   1.501316966404849e-07
2.579911972027180e-03   1.746596606473501e-04   3.359015461416407e-07
2.787807038279695e-03   2.428062685411137e-04   2.152163676698347e-07
3.012454753087960e-03   2.051588438598003e-04   4.463548364795692e-07
3.255205082272187e-03   2.822286254590445e-04   3.062649070955455e-07
3.517516774912128e-03   2.409146476076457e-04   5.943990986479385e-07
3.800966129344984e-03   3.281087927133202e-04   4.332201278554725e-07
4.107256465546973e-03   2.828254175118406e-04   7.931323845043337e-07
4.438228360820604e-03   3.815112277320206e-04   6.097551748617194e-07
4.795870710296421e-03   3.319424735329088e-04   1.060288415924516e-06
5.182332678714725e-03   4.436760084416005e-04   8.546425300312143e-07
5.599936615308509e-03   3.894966102002753e-04   1.419911983644722e-06
6.051192009396498e-03   5.160474740163103e-04   1.193611725125921e-06
6.538810570549064e-03   4.569285549031484e-04   1.904650353313021e-06
7.065722523947535e-03   6.003086167616667e-04   1.661883236417129e-06
7.635094218859962e-03   5.359233992792353e-04   2.558861699766762e-06
8.250347156047146e-03   6.984220304753900e-04   2.307654632812588e-06
8.915178548439553e-03   6.284506339729007e-04   3.442811157821135e-06
9.633583538639471e-03   8.126770850250102e-04   3.196895656510743e-06
1.040987920675908e-02   7.368119832657103e-04   4.638358992076794e-06
1.124873051286366e-02   9.457437019690870e-04   4.419902312928682e-06
1.215517832991493e-02   8.636982308314989e-04   6.256715142637839e-06
1.313466973567140e-02   1.100734372093935e-03   6.100218940817017e-06
1.419309074557768e-02   1.012255913625649e-03   8.449032402277294e-06
1.533680168334325e-02   1.281276054621223e-03   8.406776377975507e-06
1.657267540176125e-02   1.186165424832822e-03   1.142087099410692e-05
1.790813858344623e-02   1.491593633007820e-03   1.157042201253195e-05
1.935121636967760e-02   1.389731874050673e-03   1.545191683298927e-05
2.091058058553484e-02   1.736607751791357e-03   1.590647868284089e-05
2.259560185112186e-02   1.627989098002781e-03   2.092279678518197e-05
2.441640589203004e-02   2.022051249754969e-03   2.184558773386808e-05
2.638393438742415e-02   1.906816944033515e-03   2.835151124366015e-05
2.851001072140295e-02   2.354607536102306e-03   2.997585693259872e-05
3.080741103275108e-02   2.233075556223528e-03   3.844299184771377e-05
3.328994099003863e-02   2.742069502777252e-03   4.110034139799833e-05
3.597251875342965e-02   2.614764820469374e-03   5.215663114685968e-05
3.887126462173843e-02   3.193516622456554e-03   5.631528820209043e-05
4.200359790344555e-02   3.061214433236700e-03   7.079837414439344e-05
4.538834159379689e-02   3.719512717457636e-03   7.711659421807641e-05
4.904583548701673e-02   3.583305236990679e-03   9.614618225427727e-05
5.299805840335580e-02   4.332330454742194e-03   1.055447661767286e-04
5.726876026546736e-02   4.193717895916075e-03   1.306206751127902e-04
6.188360481779279e-02   5.046212230367296e-03   1.443823581310115e-04
6.687032384659380e-02   4.907200820233952e-03   1.775170452103382e-04
7.225888382737922e-02   5.877674969863473e-03   1.974225796898412e-04
7.808166600115317e-02   5.740851469703553e-03   2.413201291349723e-04
8.437366096160970e-02   6.845854941792223e-03   2.698342899158978e-04
9.117267892259785e-02   6.714414341214463e-03   3.281318482161766e-04
9.851957692940828e-02   7.972865827753512e-03   3.686575352518240e-04
1.064585043792528e-01   7.850607650897248e-03   4.462498902719190e-04
1.150371683263324e-01   9.284131207419897e-03   5.034750551777089e-04
1.243071201657794e-01   9.175463215382743e-03   6.069499176331384e-04
1.343240654192323e-01   1.080866736231174e-02   6.873187128242988e-04
1.451481984836237e-01   1.071861578305127e-02   8.255410973454176e-04
1.568445643547723e-01   1.257928364139867e-02   9.378875323431232e-04
1.694834494994701e-01   1.251344881977102e-02   1.122784104067260e-03
1.831408042249150e-01   1.463261489338917e-02   1.279178262961256e-03
1.978986990836147e-01   1.459697067058206e-02   1.526781204453462e-03
2.138458180564171e-01   1.700882559413141e-02   1.743655859738250e-03
2.310779914773302e-01   1.700922269488248e-02   2.075473273444583e-03
2.496987719026136e-01   1.975072507757058e-02   2.375110960283700e-03
2.698200563846869e-01   1.979189868224237e-02   2.819903510936917e-03
2.915627588902595e-01   2.290187743495209e-02   3.232361399449634e-03
3.150575369034133e-01   2.298566772167304e-02   3.828410021593598e-03
3.404455765799855e-01   2.650305108874451e-02   4.393943043291972e-03
3.678794411714423e-01   2.662540459598260e-02   5.191863182780206e-03
3.975239878166446e-01   3.058599251785477e-02   5.963857250198409e-03
4.295573582107391e-01   3.073210898400032e-02   7.029925656135096e-03
4.641720491043618e-01   3.516298150334437e-02   8.078221794986575e-03
5.015760690660556e-01   3.529966137617352e-02   9.497983356558860e-03
5.419941884591870e-01   4.020993030999442e-02   1.091218414985025e-02
5.856692901447937e-01   4.027366645135865e-02   1.279369144280816e-02
6.328638290270813e-01   4.563986763942291e-02   1.468546702846075e-02
6.838614092123558e-01   4.551858910431959e-02   1.716070017133079e-02
7.389684882589442e-01   5.126253569381094e-02   1.966301954392782e-02
7.985162187593771e-01   5.076838045690198e-02   2.288457156694697e-02
8.628624383213754e-01   5.672499952578218e-02   2.614381914454830e-02
9.323938199059482e-01   5.555543753580153e-02   3.027139461924632e-02
1.007528195444534e+00   6.142864225226326e-02   3.442503605732608e-02
1.088717066698399e+00   5.911480957167643e-02   3.959217858802792e-02
1.176448318448691e+00   6.442218515556448e-02   4.471956265829849e-02
1.271249150321405e+00   6.026861996000471e-02   5.096501947760914e-02
1.373689244865351e+00   6.428390136013452e-02   5.699213341078931e-02
1.484384190920914e+00   5.731690882023245e-02   6.413328819589428e-02
1.603999182851514e+00   5.903878467303038e-02   7.066611680136001e-02
1.733253017867395e+00   4.800846542566535e-02   7.808858155732867e-02
1.872922415462686e+00   4.622345209535847e-02   8.415253392588408e-02
2.023846684922348e+00   2.975631767989811e-02   9.050430770970036e-02
