# 121 point Hankel filter, J0 and J1
# ==================================
#
# Designed and tested for dipole antenna radiation in a conductive medium.
#
#
# > Kong, F. N, 2007;
# > Hankel transform filters for dipole antenna radiation in a conductive
# > medium;
# > Geophysical Prospecting, 55(1), 83-89;
# > DOI: 10.1111/j.1365-2478.2006.00585.x
#
#
# These filter values are available from
#
#   http://www.em-earth-consulting.no
#
# in the three files YBASE121.dat, J0K121.dat, and J1K121.dat.
# Please consult the original source for more details.
#
#
# Copyright 2007 Fannian Kong
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                     j0                       j1
1.0077854290485105e-03   3.0018305463183890e+02   1.4159106906236584e+04
1.1306077036215634e-03  -1.4997153161927693e+03  -6.3894162353990403e+04
1.2683987510072388e-03   3.2362173919097522e+03   1.2310811383612661e+05
1.4229828670044432e-03  -3.5889806191080561e+03  -1.1486817725824723e+05
1.5964066806122474e-03   9.9319938998747637e+02  -1.4753412401589708e+03
1.7909662505412698e-03   3.8179279963153253e+03   1.7820074382693824e+05
2.0092374640700602e-03  -8.5085234766944122e+03  -3.2884341392696078e+05
2.2541101407146007e-03   1.1207327477259456e+04   4.0034208858031681e+05
2.5288262922292556e-03  -1.1531776512925609e+04  -3.9292610305676475e+05
2.8370230454855348e-03   1.0180936873156406e+04   3.3649847192558867e+05
3.1827807965096669e-03  -8.1063361758784658e+03  -2.6286375592255167e+05
3.5706772332182498e-03   6.0085437844429871e+03   1.9276161687520225e+05
4.0058479420904168e-03  -4.2367917320848228e+03  -1.3532470402888930e+05
4.4940544011834518e-03   2.8856159727039544e+03   9.2200446462483131e+04
5.0417602596909790e-03  -1.9188095349896853e+03  -6.1548829780693632e+04
5.6562169139531080e-03   1.2551171902691910e+03   4.0522494324288629e+04
6.3455595129091099e-03  -8.1182810371631717e+02  -2.6431609499963735e+04
7.1189146640646597e-03   5.2111815723616189e+02   1.7133134814156092e+04
7.9865212659555023e-03  -3.3278260848862072e+02  -1.1059551444776085e+04
8.9598660668788899e-03   2.1176915752357209e+02   7.1191992278972921e+03
1.0051835744633576e-02  -1.3443218355814457e+02  -4.5742755998737493e+03
1.1276887520740558e-02   8.5194650584339684e+01   2.9354874569128351e+03
1.2651240568005305e-02  -5.3917022467612526e+01  -1.8822749389993348e+03
1.4193090745577676e-02   3.4088478048287179e+01   1.2062795877473545e+03
1.5922851504511684e-02  -2.1523595959544657e+01  -7.7277108232453850e+02
1.7863424153314034e-02   1.3577090924007551e+01   4.9492492631541484e+02
2.0040501061684014e-02  -8.5434684440849118e+00  -3.1691334079981812e+02
2.2482905816735520e-02   5.3682354535020123e+00   2.0289254048774126e+02
2.5222974835227209e-02  -3.3525766356269853e+00  -1.2987117322606318e+02
2.8296985484186854e-02   2.0885260837282376e+00   8.3111905719290576e+01
3.1745636378067939e-02  -1.2793232916734436e+00  -5.3171419417674883e+01
3.5614586211371861e-02   7.8058884271469897e-01   3.4001318850873965e+01
3.9955058260653903e-02  -4.5242438742651114e-01  -2.1727145676811332e+01
4.4824518559266870e-02   2.6089203241610426e-01   1.3868836029693362e+01
5.0287436723591865e-02  -1.2338615646032285e-01  -8.8371017147469129e+00
5.6416139503777350e-02   5.6281416318118380e-02   5.6159478530342604e+00
6.3291768359640704e-02   7.0125081568702717e-03  -3.5528681405641978e+00
7.1005353739636984e-02  -2.2285034855420188e-02   2.2326264948682826e+00
7.9659020285898011e-02   5.8388786672113245e-02  -1.3861956199997831e+00
8.9367338921753192e-02  -5.0279850215481377e-02   8.4533815622227582e-01
1.0025884372280371e-01   7.8597196793220414e-02  -4.9730994319610561e-01
1.1247773365428958e-01  -5.7780915798218570e-02   2.7626521874054144e-01
1.2618578170503872e-01   8.6833839108689789e-02  -1.3207677866949757e-01
1.4156447669413402e-01  -5.6713538106749770e-02   4.2681318795235568e-02
1.5881742610692068e-01   9.0861627775228854e-02   1.8663686575331840e-02
1.7817305177289841e-01  -5.1733726817583675e-02  -5.3208742589031535e-02
1.9988761407514449e-01   9.3892545736654870e-02   8.1715199974391917e-02
2.2424860473053532e-01  -4.4578054953703386e-02  -9.2375366349240665e-02
2.5157855305975646e-01   9.7333941326658679e-02   1.0918440876205196e-01
2.8223929614052329e-01  -3.5809206216951828e-02  -1.0784697385032857e-01
3.1663676937905316e-01   1.0187303599617950e-01   1.2263194639047151e-01
3.5522638092495146e-01  -2.5533080595253506e-02  -1.1291394172961393e-01
3.9851904108451419e-01   1.0787869351568864e-01   1.3120315240462399e-01
4.4708792655935642e-01  -1.3731146379316628e-02  -1.1264897932654486e-01
5.0157606906605545e-01   1.1549428371538972e-01   1.3910357869782769e-01
5.6270486880695569e-01  -4.9007131028919334e-04  -1.0858278920034534e-01
6.3128364550692595e-01   1.2453783048394922e-01   1.4870786320325752e-01
7.0822035346779999e-01   1.3716079779752552e-02  -1.0058646924687212e-01
7.9453360250333405e-01   1.3420142569679816e-01   1.6184445590085567e-01
8.9136614390683133e-01   2.7562751092388021e-02  -8.7680656207090757e-02
1.0000000000000000e+00   1.4247216088490525e-01   1.8020003971865040e-01
1.1218734375719384e+00   3.8106514837307398e-02  -6.8631869765463246e-02
1.2586000099294778e+00   1.4519350403349998e-01   2.0499322719217808e-01
1.4119899196676591e+00   3.9680378340821582e-02  -4.3037250192290703e-02
1.5840739849944818e+00   1.3490403422658193e-01   2.3549230905732943e-01
1.7771305269140385e+00   2.2901601418290750e-02  -1.3817950392389918e-02
1.9937155332430825e+00   1.0048732915054742e-01   2.6547248491456293e-01
2.2366964988199869e+00  -2.4201736611187494e-02   7.8529706964075002e-03
2.5092903899362975e+00   3.1137736528372380e-02   2.7711681990519133e-01
2.8151062356240644e+00  -1.0740460659967459e-01  -3.9269616914972142e-03
3.1581929096897681e+00  -6.7585707297970046e-02   2.3652124461108126e-01
3.5430927361089823e+00  -2.0086348522717648e-01  -8.7535132259551965e-02
3.9749016274947486e+00  -1.3938783391528009e-01   1.1096253210869840e-01
4.4593365528478257e+00  -2.1109045469819143e-01  -2.5015308781917761e-01
5.0028112278335879e+00  -6.0476076401026799e-02  -5.0607353375473493e-02
5.6125210296931574e+00  -2.0240530933718630e-02  -3.5378711425963411e-01
6.2965382610266571e+00   2.0107385437033698e-01  -1.1888933264390817e-02
7.0639190237012111e+00   2.0478593615229865e-01  -1.2848274860566231e-01
7.9248231178494901e+00   2.1005450988434599e-01   3.4458207638195643e-01
8.8906485533713706e+00  -1.0138188698229451e-01   1.2029950796999150e-01
9.9741824548147235e+00  -2.4443221085371702e-01   2.0091357644979224e-01
1.1189770357552707e+01  -2.0919885878257014e-01  -4.0637916861032514e-01
1.2553506136668235e+01   2.5885662664839104e-01  -7.7844503202361123e-02
1.4083445083124413e+01   2.2511239447558806e-01   8.4393485976334601e-02
1.5799842948260402e+01  -2.4749979171782066e-01   3.8585911280828078e-01
1.7725424121461643e+01  -1.5834221813675839e-01  -5.3710156851306179e-01
